"winner","winner_seeding","winner_flag","loser","loser_seeding","loser_flag","score","round","year","winner_country","loser_country","winner_type","loser_type"
"Roger Federer",1,"SUI","Ivo Minar",,"CZE","64 64 61","Round of 64",2005,"Switzerland","Czech Republic",,
"Dmitry Tursunov",,"RUS","Alexander Popp",,"GER","57 765 62 62","Round of 32",2005,"Russia","Germany",,
"Mikhail Youzhny",31,"RUS","Jonas Bjorkman",,"SWE","75 63 36 769","Round of 32",2005,"Russia","Sweden",,
"Max Mirnyi",,"BLR","Jiri Novak",28,"CZE","57 75 64 762","Round of 32",2005,"Belarus","Czech Republic",,
"Richard Gasquet",27,"FRA","Gilles Muller",,"LUX","763 63 63","Round of 32",2005,"France","Luxembourg",,
"Taylor Dent",24,"USA","Tomas Berdych",,"CZE","63 765 63","Round of 32",2005,"United States","Czech Republic",,
"Juan Carlos Ferrero",23,"ESP","Florian Mayer",,"GER","36 62 61 61","Round of 32",2005,"Spain","Germany",,
"David Nalbandian",18,"ARG","Andy Murray",,"GBR","674 16 60 64 61","Round of 32",2005,"Argentina","Great Britain",,"wildcard"
"Guillermo Coria",15,"ARG","Jurgen Melzer",,"AUT","36 36 62 62 64","Round of 32",2005,"Argentina","Austria",,
"Thomas Johansson",12,"SWE","Janko Tipsarevic",,"SRB","62 63 61","Round of 32",2005,"Sweden","Serbia",,
"Fernando Gonzalez",21,"CHI","Joachim Johansson",11,"SWE","64 64 62","Round of 32",2005,"Chile","Sweden",,
"Mario Ancic",10,"CRO","Gael Monfils",,"FRA","63 63 61","Round of 32",2005,"Croatia","France",,
"Sebastien Grosjean",9,"FRA","Novak Djokovic",,"SRB","75 64 57 64","Round of 32",2005,"France","Serbia",,"qualifier"
"Feliciano Lopez",26,"ESP","Marat Safin",5,"RUS","64 764 63","Round of 32",2005,"Spain","Russia",,
"Lleyton Hewitt",3,"AUS","Justin Gimelstob",,"USA","765 64 75","Round of 32",2005,"Australia","United States",,"lucky loser"
"Andy Roddick",2,"USA","Igor Andreev",,"RUS","62 62 764","Round of 32",2005,"United States","Russia",,
"Roger Federer",1,"SUI","Nicolas Kiefer",25,"GER","62 675 61 75","Round of 32",2005,"Switzerland","Germany",,
"Fernando Gonzalez",21,"CHI","Mikhail Youzhny",31,"RUS","763 765 63","Round of 16",2005,"Chile","Russia",,
"David Nalbandian",18,"ARG","Richard Gasquet",27,"FRA","64 763 60","Round of 16",2005,"Argentina","France",,
"Thomas Johansson",12,"SWE","Max Mirnyi",,"BLR","64 75 64","Round of 16",2005,"Sweden","Belarus",,
