"winner","winner_seeding","winner_flag","loser","loser_seeding","loser_flag","score","round","year","winner_country","loser_country","winner_type","loser_type"
"Albert Montanes",32,"ESP","Grega Zemlja",,"SLO","64 64 64","Round of 128",2009,"Spain","Slovenia",,"qualifier"
"Victor Hanescu",31,"ROU","Ivan Navarro",,"ESP","63 675 64 675 1210","Round of 128",2009,"Romania","Spain",,
"Viktor Troicki",30,"SRB","Brian Dabul",,"ARG","64 64 63","Round of 128",2009,"Serbia","Argentina",,
"Igor Andreev",29,"RUS","Evgeny Korolev",,"KAZ","46 762 64 764","Round of 128",2009,"Russia","Kazakhstan",,
"Mardy Fish",28,"USA","Sergio Roitman",,"ARG","63 62 41 (RET)","Round of 128",2009,"United States","Argentina",,
"Philipp Kohlschreiber",27,"GER","Florent Serra",,"FRA","763 61 64","Round of 128",2009,"Germany","France",,
"Jurgen Melzer",26,"AUT","Wayne Odesnik",,"USA","61 64 62","Round of 128",2009,"Austria","United States",,
"Mischa Zverev",,"GER","Dmitry Tursunov",25,"RUS","64 62 30 (RET)","Round of 128",2009,"Germany","Russia",,
"Tommy Haas",24,"GER","Alexander Peya",,"AUT","675 76 63 64","Round of 128",2009,"Germany","Austria",,"qualifier"
"Radek Stepanek",23,"CZE","Alejandro Falla",,"COL","64 64 61","Round of 128",2009,"Czech Republic","Colombia",,"qualifier"
"Ivo Karlovic",22,"CRO","Lukas Lacko",,"SVK","63 764 63","Round of 128",2009,"Croatia","Slovakia",,"qualifier"
"Karol Beck",,"SVK","Feliciano Lopez",21,"ESP","16 75 63 46 108","Round of 128",2009,"Slovakia","Spain","lucky loser",
"Tomas Berdych",20,"CZE","Alex Bogdanovic",,"GBR","63 64 64","Round of 128",2009,"Czech Republic","Great Britain",,"wildcard"
"Stan Wawrinka",19,"SUI","Eduardo Schwank",,"ARG","75 64 61","Round of 128",2009,"Switzerland","Argentina",,
"Rainer Schuettler",18,"GER","Xavier Malisse",,"BEL","679 64 763 61","Round of 128",2009,"Germany","Belgium",,"qualifier"
"Andreas Seppi",,"ITA","James Blake",17,"USA","75 64 765","Round of 128",2009,"Italy","United States",,
"David Ferrer",16,"ESP","Kevin Kim",,"USA","75 63 46 62","Round of 128",2009,"Spain","United States",,
"Tommy Robredo",15,"ESP","Luka Gregorc",,"SLO","764 64 57 763","Round of 128",2009,"Spain","Slovenia",,"qualifier"
"Jesse Levine",,"CAN","Marat Safin",14,"RUS","62 36 764 64","Round of 128",2009,"Canada","Russia","qualifier",
"Robin Soderling",13,"SWE","Gilles Muller",,"LUX","674 75 61 62","Round of 128",2009,"Sweden","Luxembourg",,
"Nikolay Davydenko",12,"RUS","Daniel Evans",,"GBR","62 63 63","Round of 128",2009,"Russia","Great Britain",,"wildcard"
"Marin Cilic",11,"CRO","Alberto Martin",,"ESP","63 64 64","Round of 128",2009,"Croatia","Spain",,
"Fernando Gonzalez",10,"CHI","Teymuraz Gabashvili",,"RUS","75 75 63","Round of 128",2009,"Chile","Russia",,
"Jo-Wilfried Tsonga",9,"FRA","Andrey Golubev",,"KAZ","63 57 764 765","Round of 128",2009,"France","Kazakhstan",,
"Gilles Simon",8,"FRA","Bobby Reynolds",,"USA","64 63 63","Round of 128",2009,"France","United States",,
"Fernando Verdasco",7,"ESP","James Ward",,"GBR","61 63 64","Round of 128",2009,"Spain","Great Britain",,"wildcard"
"Andy Roddick",6,"USA","Jeremy Chardy",,"FRA","63 763 46 63","Round of 128",2009,"United States","France",,
"Juan Martin Del Potro",5,"ARG","Arnaud Clement",,"FRA","63 61 62","Round of 128",2009,"Argentina","France",,
"Novak Djokovic",4,"SRB","Julien Benneteau",,"FRA","678 761 62 64","Round of 128",2009,"Serbia","France",,
"Andy Murray",3,"GBR","Robert Kendrick",,"USA","75 673 63 64","Round of 128",2009,"Great Britain","United States",,
"Roger Federer",2,"SUI","Yen-Hsun Lu",,"TPE","75 63 62","Round of 128",2009,"Switzerland","Chinese Taipei",,
"Andreas Seppi",,"ITA","Marc Gicquel",,"FRA","75 64 673 57 64","Round of 64",2009,"Italy","France",,
"Philipp Petzschner",,"GER","Mischa Zverev",,"GER","46 7613 36 765 60","Round of 64",2009,"Germany","Germany",,
"Jesse Levine",,"CAN","Pablo Cuevas",,"URU","62 61 46 46 63","Round of 64",2009,"Canada","Uruguay","qualifier","lucky loser"
"Juan Carlos Ferrero",,"ESP","Fabrice Santoro",,"FRA","671 63 64 63","Round of 64",2009,"Spain","France","wildcard",
"Nicolas Almagro",,"ESP","Karol Beck",,"SVK","64 762 36 36 75","Round of 64",2009,"Spain","Slovakia",,"lucky loser"
"Albert Montanes",32,"ESP","Guillermo Canas",,"ARG","64 63 46 63","Round of 64",2009,"Spain","Argentina",,
"Victor Hanescu",31,"ROU","Nicolas Devilder",,"FRA","62 63 61","Round of 64",2009,"Romania","France",,
"Viktor Troicki",30,"SRB","Daniel Gimeno-Traver",,"ESP","675 60 16 63 75","Round of 64",2009,"Serbia","Spain",,
"Igor Andreev",29,"RUS","Vincent Spadea",,"USA","63 75 62","Round of 64",2009,"Russia","United States",,
"Mardy Fish",28,"USA","Janko Tipsarevic",,"SRB","64 36 61 64","Round of 64",2009,"United States","Serbia",,
"Philipp Kohlschreiber",27,"GER","Ivo Minar",,"CZE","64 36 46 62 86","Round of 64",2009,"Germany","Czech Republic",,
"Jurgen Melzer",26,"AUT","Benjamin Becker",,"GER","766 63 761","Round of 64",2009,"Austria","Germany",,
"Tommy Haas",24,"GER","Michael Llodra",,"FRA","43 (RET)","Round of 64",2009,"Germany","France",,
"Radek Stepanek",23,"CZE","Potito Starace",,"ITA","64 46 62 46 63","Round of 64",2009,"Czech Republic","Italy",,
"Ivo Karlovic",22,"CRO","Steve Darcis",,"BEL","75 63 64","Round of 64",2009,"Croatia","Belgium",,
"Tomas Berdych",20,"CZE","Paul-Henri Mathieu",,"FRA","62 64 64","Round of 64",2009,"Czech Republic","France",,
"Stan Wawrinka",19,"SUI","Martin Vassallo Arguello",,"ARG","63 62 62","Round of 64",2009,"Switzerland","Argentina",,
"Dudi Sela",,"ISR","Rainer Schuettler",18,"GER","763 63 62","Round of 64",2009,"Israel","Germany",,
"David Ferrer",16,"ESP","Fabio Fognini",,"ITA","62 62 63","Round of 64",2009,"Spain","Italy",,
"Tommy Robredo",15,"ESP","Stefan Koubek",,"AUT","36 46 64 765 61","Round of 64",2009,"Spain","Austria",,
"Robin Soderling",13,"SWE","Marcel Granollers",,"ESP","46 767 64 75","Round of 64",2009,"Sweden","Spain",,
"Nikolay Davydenko",12,"RUS","Victor Crivoi",,"ROU","64 64 62","Round of 64",2009,"Russia","Romania",,
"Marin Cilic",11,"CRO","Sam Querrey",,"USA","46 763 63 674 64","Round of 64",2009,"Croatia","United States",,
"Fernando Gonzalez",10,"CHI","Leonardo Mayer",,"ARG","674 64 64 64","Round of 64",2009,"Chile","Argentina",,
"Jo-Wilfried Tsonga",9,"FRA","Simone Bolelli",,"ITA","(W/O)","Round of 64",2009,"France","Italy",,
"Gilles Simon",8,"FRA","Thiago Alves",,"BRA","57 63 64 64","Round of 64",2009,"France","Brazil",,"lucky loser"
"Fernando Verdasco",7,"ESP","Kristof Vliegen",,"BEL","763 673 764 64","Round of 64",2009,"Spain","Belgium",,
"Andy Roddick",6,"USA","Igor Kunitsyn",,"RUS","64 62 36 62","Round of 64",2009,"United States","Russia",,
"Lleyton Hewitt",,"AUS","Juan Martin Del Potro",5,"ARG","63 75 75","Round of 64",2009,"Australia","Argentina",,
"Novak Djokovic",4,"SRB","Simon Greul",,"GER","75 61 64","Round of 64",2009,"Serbia","Germany",,"qualifier"
"Andy Murray",3,"GBR","Ernests Gulbis",,"LAT","62 75 63","Round of 64",2009,"Great Britain","Latvia",,
"Roger Federer",2,"SUI","Guillermo Garcia-Lopez",,"ESP","62 62 64","Round of 64",2009,"Switzerland","Spain",,
"Lleyton Hewitt",,"AUS","Philipp Petzschner",,"GER","75 763 63","Round of 32",2009,"Australia","Germany",,
"Igor Andreev",29,"RUS","Andreas Seppi",,"ITA","61 765 46 765","Round of 32",2009,"Russia","Italy",,
"Stan Wawrinka",19,"SUI","Jesse Levine",,"CAN","57 75 63 63","Round of 32",2009,"Switzerland","Canada",,"qualifier"
"Radek Stepanek",23,"CZE","David Ferrer",16,"ESP","75 75 36 46 64","Round of 32",2009,"Czech Republic","Spain",,
"Dudi Sela",,"ISR","Tommy Robredo",15,"ESP","768 75 26 75","Round of 32",2009,"Israel","Spain",,
"Robin Soderling",13,"SWE","Nicolas Almagro",,"ESP","767 64 64","Round of 32",2009,"Sweden","Spain",,
"Tomas Berdych",20,"CZE","Nikolay Davydenko",12,"RUS","62 63 62","Round of 32",2009,"Czech Republic","Russia",,
"Tommy Haas",24,"GER","Marin Cilic",11,"CRO","75 75 16 673 108","Round of 32",2009,"Germany","Croatia",,
"Juan Carlos Ferrero",,"ESP","Fernando Gonzalez",10,"CHI","46 75 64 46 64","Round of 32",2009,"Spain","Chile","wildcard",
"Ivo Karlovic",22,"CRO","Jo-Wilfried Tsonga",9,"FRA","765 675 75 765","Round of 32",2009,"Croatia","France",,
"Gilles Simon",8,"FRA","Victor Hanescu",31,"ROU","62 75 62","Round of 32",2009,"France","Romania",,
"Fernando Verdasco",7,"ESP","Albert Montanes",32,"ESP","46 61 64 762","Round of 32",2009,"Spain","Spain",,
"Andy Roddick",6,"USA","Jurgen Melzer",26,"AUT","762 762 46 63","Round of 32",2009,"United States","Austria",,
"Novak Djokovic",4,"SRB","Mardy Fish",28,"USA","64 64 64","Round of 32",2009,"Serbia","United States",,
"Andy Murray",3,"GBR","Viktor Troicki",30,"SRB","62 63 64","Round of 32",2009,"Great Britain","Serbia",,
"Roger Federer",2,"SUI","Philipp Kohlschreiber",27,"GER","63 62 675 61","Round of 32",2009,"Switzerland","Germany",,
"Tommy Haas",24,"GER","Igor Andreev",29,"RUS","768 64 64","Round of 16",2009,"Germany","Russia",,
"Lleyton Hewitt",,"AUS","Radek Stepanek",23,"CZE","46 26 61 62 62","Round of 16",2009,"Australia","Czech Republic",,
"Juan Carlos Ferrero",,"ESP","Gilles Simon",8,"FRA","764 63 62","Round of 16",2009,"Spain","France","wildcard",
"Ivo Karlovic",22,"CRO","Fernando Verdasco",7,"ESP","765 674 63 769","Round of 16",2009,"Croatia","Spain",,
"Andy Roddick",6,"USA","Tomas Berdych",20,"CZE","764 64 63","Round of 16",2009,"United States","Czech Republic",,
"Novak Djokovic",4,"SRB","Dudi Sela",,"ISR","62 64 61","Round of 16",2009,"Serbia","Israel",,
"Andy Murray",3,"GBR","Stan Wawrinka",19,"SUI","26 63 63 57 63","Round of 16",2009,"Great Britain","Switzerland",,
"Roger Federer",2,"SUI","Robin Soderling",13,"SWE","64 765 765","Round of 16",2009,"Switzerland","Sweden",,
"Andy Roddick",6,"USA","Lleyton Hewitt",,"AUS","63 6710 761 46 64","Quarter-Finals",2009,"United States","Australia",,
"Tommy Haas",24,"GER","Novak Djokovic",4,"SRB","75 766 46 63","Quarter-Finals",2009,"Germany","Serbia",,
"Andy Murray",3,"GBR","Juan Carlos Ferrero",,"ESP","75 63 62","Quarter-Finals",2009,"Great Britain","Spain",,"wildcard"
"Roger Federer",2,"SUI","Ivo Karlovic",22,"CRO","63 75 763","Quarter-Finals",2009,"Switzerland","Croatia",,
"Andy Roddick",6,"USA","Andy Murray",3,"GBR","64 46 767 765","Semi-Finals",2009,"United States","Great Britain",,
"Roger Federer",2,"SUI","Tommy Haas",24,"GER","763 75 63","Semi-Finals",2009,"Switzerland","Germany",,
"Roger Federer",2,"SUI","Andy Roddick",6,"USA","57 766 765 36 1614","Finals",2009,"Switzerland","United States",,
"Mischa Zverev",,"GER","Alexander Peya",,"AUT","63 64 64","Round of 128",2008,"Germany","Austria",,"qualifier"
"Martin Vassallo Arguello",,"ARG","Ivo Minar",,"CZE","64 26 26 62 62","Round of 128",2008,"Argentina","Czech Republic",,
"Viktor Troicki",,"SRB","Nicolas Lapentti",,"ECU","63 40 (RET)","Round of 128",2008,"Serbia","Ecuador",,
"Janko Tipsarevic",,"SRB","Thierry Ascione",,"FRA","764 64 62","Round of 128",2008,"Serbia","France",,
"Robin Soderling",,"SWE","Kevin Kim",,"USA","75 06 63 64","Round of 128",2008,"Sweden","United States",,"qualifier"
"Florent Serra",,"FRA","Yen-Hsun Lu",,"TPE","64 64 673 63","Round of 128",2008,"France","Chinese Taipei",,
"Rainer Schuettler",,"GER","Santiago Ventura",,"ESP","63 62 64","Round of 128",2008,"Germany","Spain",,
"Marat Safin",,"RUS","Fabio Fognini",,"ITA","61 62 763","Round of 128",2008,"Russia","Italy",,
"Olivier Rochus",,"BEL","Dudi Sela",,"ISR","64 75 64","Round of 128",2008,"Belgium","Israel",,
"Bobby Reynolds",,"USA","Filippo Volandri",,"ITA","62 62 (RET)","Round of 128",2008,"United States","Italy",,
"Philipp Petzschner",,"GER","Hyung-Taik Lee",,"KOR","674 61 64 (RET)","Round of 128",2008,"Germany","South Korea","qualifier",
"Albert Montanes",,"ESP","Carlos Berlocq",,"ARG","63 762 64","Round of 128",2008,"Spain","Argentina",,
"Xavier Malisse",,"BEL","Denis Gremelmayr",,"GER","63 64 62","Round of 128",2008,"Belgium","Germany","wildcard",
"Jesse Levine",,"CAN","Donald Young",,"USA","46 62 63 64","Round of 128",2008,"Canada","United States","qualifier",
"Roko Karanusic",,"CRO","Luis Horna",,"PER","764 63 61","Round of 128",2008,"Croatia","Peru",,
"Thomas Johansson",,"SWE","Vincent Spadea",,"USA","678 675 63 64 63","Round of 128",2008,"Sweden","United States",,
"Victor Hanescu",,"ROU","Alejandro Falla",,"COL","63 672 60 64","Round of 128",2008,"Romania","Colombia",,
"Tommy Haas",,"GER","Guillermo Canas",,"ARG","36 64 64 64","Round of 128",2008,"Germany","Argentina",,
"Ernests Gulbis",,"LAT","John Isner",,"USA","75 75 673 766","Round of 128",2008,"Latvia","United States",,
"Sebastien Grosjean",,"FRA","Potito Starace",,"ITA","62 75 61","Round of 128",2008,"France","Italy",,
"Marc Gicquel",,"FRA","Kei Nishikori",,"JPN","46 75 (RET)","Round of 128",2008,"France","Japan",,
"Guillermo Garcia-Lopez",,"ESP","Izak Van der Merwe",,"RSA","75 62 62","Round of 128",2008,"Spain","South Africa",,"qualifier"
"Stefano Galvani",,"ITA","Jamie Baker",,"GBR","64 62 63","Round of 128",2008,"Italy","Great Britain","qualifier","wildcard"
"Chris Eaton",,"GBR","Boris Pashanski",,"SRB","63 766 64","Round of 128",2008,"Great Britain","Serbia","qualifier",
"Juan Martin Del Potro",,"ARG","Pavel Snobel",,"CZE","64 62 63","Round of 128",2008,"Argentina","Czech Republic",,"qualifier"
"Arnaud Clement",,"FRA","Jonas Bjorkman",,"SWE","46 762 64 764","Round of 128",2008,"France","Sweden",,
"Marin Cilic",,"CRO","Edouard Roger-Vasselin",,"FRA","64 63 764","Round of 128",2008,"Croatia","France",,"qualifier"
"Jeremy Chardy",,"FRA","Frederico Gil",,"POR","75 671 46 64 63","Round of 128",2008,"France","Portugal","wildcard","qualifier"
"Agustin Calleri",,"ARG","Kevin Anderson",,"RSA","46 75 75 61","Round of 128",2008,"Argentina","South Africa",,
"Ilija Bozoljac",,"SRB","Chris Guccione",,"AUS","36 64 64 63","Round of 128",2008,"Serbia","Australia","lucky loser",
"Simone Bolelli",,"ITA","Alex Bogdanovic",,"GBR","764 46 63 764","Round of 128",2008,"Italy","Great Britain",,"wildcard"
"Thomaz Bellucci",,"BRA","Igor Kunitsyn",,"RUS","765 765 36 62","Round of 128",2008,"Brazil","Russia",,
"Igor Andreev",,"RUS","Jiri Vanek",,"CZE","676 762 62 62","Round of 128",2008,"Russia","Czech Republic",,
"Feliciano Lopez",32,"ESP","Brian Dabul",,"ARG","761 36 63 64","Round of 128",2008,"Spain","Argentina",,
"Mario Ancic",,"CRO","Michael Llodra",31,"FRA","64 767 20 (RET)","Round of 128",2008,"Croatia","France",,
"Nicolas Kiefer",30,"GER","Julien Benneteau",,"FRA","61 75 63","Round of 128",2008,"Germany","France",,
"Dmitry Tursunov",28,"RUS","Nicolas Mahut",,"FRA","64 678 767 36 75","Round of 128",2008,"Russia","France",,
"Andreas Seppi",27,"ITA","Tobias Kamke",,"GER","57 63 62 64","Round of 128",2008,"Italy","Germany",,"lucky loser"
"Gilles Simon",26,"FRA","Dawid Olejniczak",,"POL","63 64 62","Round of 128",2008,"France","Poland",,"qualifier"
"Jarkko Nieminen",25,"FIN","Wayne Odesnik",,"USA","63 (RET)","Round of 128",2008,"Finland","United States",,
"Lleyton Hewitt",24,"AUS","Robin Haase",,"NED","674 63 63 671 62","Round of 128",2008,"Australia","Netherlands",,
"Jurgen Melzer",,"AUT","Ivan Ljubicic",23,"CRO","64 767 46 26 63","Round of 128",2008,"Austria","Croatia",,
"Marcos Baghdatis",22,"CYP","Steve Darcis",,"BEL","63 62 675 63","Round of 128",2008,"Cyprus","Belgium",,
"Juan Carlos Ferrero",21,"ESP","Sam Querrey",,"USA","26 64 64 64","Round of 128",2008,"Spain","United States",,
"Simon Stadler",,"GER","Ivo Karlovic",20,"CRO","46 764 63 75","Round of 128",2008,"Germany","Croatia","qualifier",
"Fernando Verdasco",19,"ESP","Philipp Kohlschreiber",,"GER","64 63 62","Round of 128",2008,"Spain","Germany",,
"Tomas Berdych",18,"CZE","Evgeny Korolev",,"KAZ","46 61 64 36 75","Round of 128",2008,"Czech Republic","Kazakhstan",,
"Tommy Robredo",17,"ESP","Kristof Vliegen",,"BEL","61 63 674 64","Round of 128",2008,"Spain","Belgium",,
"Mikhail Youzhny",16,"RUS","Sergio Roitman",,"ARG","61 64 60","Round of 128",2008,"Russia","Argentina",,
"Paul-Henri Mathieu",15,"FRA","Oscar Hernandez",,"ESP","36 62 60 62","Round of 128",2008,"France","Spain",,
"Radek Stepanek",14,"CZE","Jan Hernych",,"CZE","63 75 60","Round of 128",2008,"Czech Republic","Czech Republic",,"qualifier"
"Fernando Gonzalez",13,"CHI","Robby Ginepri",,"USA","763 75 75","Round of 128",2008,"Chile","United States",,
"Nicolas Almagro",12,"ESP","Marcel Granollers",,"ESP","46 63 75 62","Round of 128",2008,"Spain","Spain",,
"Andy Murray",11,"GBR","Fabrice Santoro",,"FRA","63 64 765","Round of 128",2008,"Great Britain","France",,
"Stan Wawrinka",10,"SUI","Marcos Daniel",,"BRA","63 62 75","Round of 128",2008,"Switzerland","Brazil",,
"Richard Gasquet",9,"FRA","Mardy Fish",,"USA","63 64 62","Round of 128",2008,"France","United States",,
"James Blake",8,"USA","Christophe Rochus",,"BEL","36 63 61 64","Round of 128",2008,"United States","Belgium",,"qualifier"
"Frank Dancevic",,"CAN","David Nalbandian",7,"ARG","64 62 64","Round of 128",2008,"Canada","Argentina",,
"Andy Roddick",6,"USA","Eduardo Schwank",,"ARG","75 64 76","Round of 128",2008,"United States","Argentina",,
"David Ferrer",5,"ESP","Sergiy Stakhovsky",,"UKR","766 63 13 (RET)","Round of 128",2008,"Spain","Ukraine",,"qualifier"
"Benjamin Becker",,"GER","Nikolay Davydenko",4,"RUS","64 64 64","Round of 128",2008,"Germany","Russia",,
"Novak Djokovic",3,"SRB","Michael Berrer",,"GER","75 26 63 60","Round of 128",2008,"Serbia","Germany",,
"Rafael Nadal",2,"ESP","Andreas Beck",,"GER","64 64 760","Round of 128",2008,"Spain","Germany",,"qualifier"
"Roger Federer",1,"SUI","Dominik Hrbaty",,"SVK","63 62 62","Round of 128",2008,"Switzerland","Slovakia",,
"Simon Stadler",,"GER","Thomaz Bellucci",,"BRA","36 63 61 675 86","Round of 64",2008,"Germany","Brazil","qualifier",
"Bobby Reynolds",,"USA","Frank Dancevic",,"CAN","46 7610 64 64","Round of 64",2008,"United States","Canada",,
"Jurgen Melzer",,"AUT","Jesse Levine",,"CAN","46 62 36 64 61","Round of 64",2008,"Austria","Canada",,"qualifier"
"Marc Gicquel",,"FRA","Ilija Bozoljac",,"SRB","46 57 761 76 63","Round of 64",2008,"France","Serbia",,"lucky loser"
"Arnaud Clement",,"FRA","Benjamin Becker",,"GER","767 763 63","Round of 64",2008,"France","Germany",,
"Mario Ancic",,"CRO","Philipp Petzschner",,"GER","61 64 671 46 63","Round of 64",2008,"Croatia","Germany",,"qualifier"
"Feliciano Lopez",32,"ESP","Roko Karanusic",,"CRO","63 63 64","Round of 64",2008,"Spain","Croatia",,
"Nicolas Kiefer",30,"GER","Martin Vassallo Arguello",,"ARG","60 63 61","Round of 64",2008,"Germany","Argentina",,
"Dmitry Tursunov",28,"RUS","Chris Eaton",,"GBR","762 62 64","Round of 64",2008,"Russia","Great Britain",,"qualifier"
"Andreas Seppi",27,"ITA","Florent Serra",,"FRA","63 674 62 675 64","Round of 64",2008,"Italy","France",,
"Gilles Simon",26,"FRA","Agustin Calleri",,"ARG","57 62 63 64","Round of 64",2008,"France","Argentina",,
"Marin Cilic",,"CRO","Jarkko Nieminen",25,"FIN","64 36 63 676 75","Round of 64",2008,"Croatia","Finland",,
"Lleyton Hewitt",24,"AUS","Albert Montanes",,"ESP","764 60 62","Round of 64",2008,"Australia","Spain",,
"Marcos Baghdatis",22,"CYP","Thomas Johansson",,"SWE","64 64 64","Round of 64",2008,"Cyprus","Sweden",,
"Mischa Zverev",,"GER","Juan Carlos Ferrero",21,"ESP","64 64 21 (RET)","Round of 64",2008,"Germany","Spain",,
"Fernando Verdasco",19,"ESP","Olivier Rochus",,"BEL","764 675 61 61","Round of 64",2008,"Spain","Belgium",,
"Tomas Berdych",18,"CZE","Victor Hanescu",,"ROU","675 766 61 62","Round of 64",2008,"Czech Republic","Romania",,
"Tommy Haas",,"GER","Tommy Robredo",17,"ESP","64 64 63","Round of 64",2008,"Germany","Spain",,
"Mikhail Youzhny",16,"RUS","Stefano Galvani",,"ITA","46 64 63 36 63","Round of 64",2008,"Russia","Italy",,"qualifier"
"Paul-Henri Mathieu",15,"FRA","Jeremy Chardy",,"FRA","63 75 761","Round of 64",2008,"France","France",,"wildcard"
"Radek Stepanek",14,"CZE","Viktor Troicki",,"SRB","671 673 63 61 62","Round of 64",2008,"Czech Republic","Serbia",,
"Simone Bolelli",,"ITA","Fernando Gonzalez",13,"CHI","768 767 36 764","Round of 64",2008,"Italy","Chile",,
"Guillermo Garcia-Lopez",,"ESP","Nicolas Almagro",12,"ESP","63 36 57 61 62","Round of 64",2008,"Spain","Spain",,
"Andy Murray",11,"GBR","Xavier Malisse",,"BEL","64 62 62","Round of 64",2008,"Great Britain","Belgium",,"wildcard"
"Stan Wawrinka",10,"SUI","Juan Martin Del Potro",,"ARG","765 63 75","Round of 64",2008,"Switzerland","Argentina",,
"Richard Gasquet",9,"FRA","Sebastien Grosjean",,"FRA","62 62 (RET)","Round of 64",2008,"France","France",,
"Rainer Schuettler",,"GER","James Blake",8,"USA","63 678 46 64 64","Round of 64",2008,"Germany","United States",,
"Janko Tipsarevic",,"SRB","Andy Roddick",6,"USA","675 75 64 764","Round of 64",2008,"Serbia","United States",,
"David Ferrer",5,"ESP","Igor Andreev",,"RUS","36 63 64 62","Round of 64",2008,"Spain","Russia",,
"Marat Safin",,"RUS","Novak Djokovic",3,"SRB","64 763 62","Round of 64",2008,"Russia","Serbia",,
"Rafael Nadal",2,"ESP","Ernests Gulbis",,"LAT","57 62 762 63","Round of 64",2008,"Spain","Latvia",,
"Roger Federer",1,"SUI","Robin Soderling",,"SWE","63 64 763","Round of 64",2008,"Switzerland","Sweden",,
"Rainer Schuettler",,"GER","Guillermo Garcia-Lopez",,"ESP","62 63 64","Round of 32",2008,"Germany","Spain",,
"Arnaud Clement",,"FRA","Jurgen Melzer",,"AUT","46 63 64 64","Round of 32",2008,"France","Austria",,
"Feliciano Lopez",32,"ESP","Bobby Reynolds",,"USA","64 75 46 64","Round of 32",2008,"Spain","United States",,
"Janko Tipsarevic",,"SRB","Dmitry Tursunov",28,"RUS","761 763 63","Round of 32",2008,"Serbia","Russia",,
"Marat Safin",,"RUS","Andreas Seppi",27,"ITA","765 36 763 64","Round of 32",2008,"Russia","Italy",,
"Lleyton Hewitt",24,"AUS","Simone Bolelli",,"ITA","61 63 762","Round of 32",2008,"Australia","Italy",,
"Marcos Baghdatis",22,"CYP","Simon Stadler",,"GER","762 64 62","Round of 32",2008,"Cyprus","Germany",,"qualifier"
"Fernando Verdasco",19,"ESP","Tomas Berdych",18,"CZE","64 64 60","Round of 32",2008,"Spain","Czech Republic",,
"Marin Cilic",,"CRO","Paul-Henri Mathieu",15,"FRA","675 63 64 767","Round of 32",2008,"Croatia","France",,
"Mikhail Youzhny",16,"RUS","Radek Stepanek",14,"CZE","75 675 64 674 63","Round of 32",2008,"Russia","Czech Republic",,
"Andy Murray",11,"GBR","Tommy Haas",,"GER","64 674 63 62","Round of 32",2008,"Great Britain","Germany",,
"Stan Wawrinka",10,"SUI","Mischa Zverev",,"GER","75 61 (RET)","Round of 32",2008,"Switzerland","Germany",,
"Richard Gasquet",9,"FRA","Gilles Simon",26,"FRA","63 63 673 63","Round of 32",2008,"France","France",,
"Mario Ancic",,"CRO","David Ferrer",5,"ESP","64 64 675 763","Round of 32",2008,"Croatia","Spain",,
"Rafael Nadal",2,"ESP","Nicolas Kiefer",30,"GER","763 62 63","Round of 32",2008,"Spain","Germany",,
"Roger Federer",1,"SUI","Marc Gicquel",,"FRA","63 63 61","Round of 32",2008,"Switzerland","France",,
"Rainer Schuettler",,"GER","Janko Tipsarevic",,"SRB","64 36 64 764","Round of 16",2008,"Germany","Serbia",,
"Arnaud Clement",,"FRA","Marin Cilic",,"CRO","63 75 62","Round of 16",2008,"France","Croatia",,
"Feliciano Lopez",32,"ESP","Marcos Baghdatis",22,"CYP","57 62 36 764 86","Round of 16",2008,"Spain","Cyprus",,
"Mario Ancic",,"CRO","Fernando Verdasco",19,"ESP","36 46 63 64 1311","Round of 16",2008,"Croatia","Spain",,
"Marat Safin",,"RUS","Stan Wawrinka",10,"SUI","64 63 57 61","Round of 16",2008,"Russia","Switzerland",,
"Andy Murray",11,"GBR","Richard Gasquet",9,"FRA","57 36 763 62 64","Round of 16",2008,"Great Britain","France",,
"Rafael Nadal",2,"ESP","Mikhail Youzhny",16,"RUS","63 63 61","Round of 16",2008,"Spain","Russia",,
"Roger Federer",1,"SUI","Lleyton Hewitt",24,"AUS","767 62 64","Round of 16",2008,"Switzerland","Australia",,
"Rainer Schuettler",,"GER","Arnaud Clement",,"FRA","63 57 766 677 86","Quarter-Finals",2008,"Germany","France",,
"Marat Safin",,"RUS","Feliciano Lopez",32,"ESP","36 75 761 63","Quarter-Finals",2008,"Russia","Spain",,
"Rafael Nadal",2,"ESP","Andy Murray",11,"GBR","63 62 64","Quarter-Finals",2008,"Spain","Great Britain",,
"Roger Federer",1,"SUI","Mario Ancic",,"CRO","61 75 64","Quarter-Finals",2008,"Switzerland","Croatia",,
"Rafael Nadal",2,"ESP","Rainer Schuettler",,"GER","61 763 64","Semi-Finals",2008,"Spain","Germany",,
"Roger Federer",1,"SUI","Marat Safin",,"RUS","63 763 64","Semi-Finals",2008,"Switzerland","Russia",,
"Rafael Nadal",2,"ESP","Roger Federer",1,"SUI","64 64 675 678 97","Finals",2008,"Spain","Switzerland",,
"Tomas Zib",,"CZE","Diego Hartfield",,"ARG","46 764 36 63 64","Round of 128",2007,"Czech Republic","Argentina","qualifier",
"Jimmy Wang",,"TPE","Igor Kunitsyn",,"RUS","63 64 675 678 62","Round of 128",2007,"Chinese Taipei","Russia","qualifier",
"Fernando Verdasco",,"ESP","Bobby Reynolds",,"USA","64 64 63","Round of 128",2007,"Spain","United States",,"qualifier"
"Danai Udomchoke",,"THA","Carlos Berlocq",,"ARG","64 75 63","Round of 128",2007,"Thailand","Argentina",,
